workerid,proliferate.condition,belief_response,certainty_question,certainty_response,content,object,prior,prior_fact,response,rt,slide_number_in_experiment,trigger,trigger_class,utterance,error
13,condition1,,,,,Margaret,,,Margaret,0,1,,,bot_check,
13,condition1,0.2,How certain is Sandra that Danny ate the last cupcake?,0.7,danny,,0.302937062937063,Danny loves cake,,31282,4,confirm_neg,Critical,,
13,condition1,0.51,How certain is Dennis that Jon walks to work?,0.48,jon,,0.7559375,Jon lives 2 blocks away from work,,19696,5,simple_polar,Critical,,
13,condition1,0.38,How certain is Brenda that Mary isn't pregnant?,0.45,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,43707,6,think_pos,Critical,,
13,condition1,0.22,How certain is Jeffrey that Jack wasn't playing outside with the kids?,0.2,kids,,0,Many children like ice cream,,19323,7,MC,Control,,
13,condition1,0.73,How certain is Scott that Josie went on vacation to France?,0.61,josie,,0.73343949044586,Josie loves France,,17647,8,say_pos,Critical,,
13,condition1,0.53,How certain is Stephanie that Samantha has a new hat?,0.43,hat,,0,Hats are worn on the head,,13374,9,MC,Control,,
13,condition1,0.26,How certain is Patrick that Carl's kids weren't in the garage?,0.51,garage,,0,Garages are used to store cars and other things,,43003,10,MC,Control,,
13,condition1,0.54,How certain is Betty that these muffins have blueberries in them?,0.05,muffins,,0,Muffins are sold at the bakery,,14406,11,MC,Control,,
13,condition1,0.51,How certain is Angela that Ann dances ballet?,0.08,ballet,,0,Ballet is a type of dance,,12617,12,MC,Control,,
13,condition1,0.98,How certain is Steven that Charley speaks Spanish?,0.99,charley,,0.804632352941177,Charley lives in Mexico,,19970,13,inform_pos,Critical,,
13,condition1,0.79,How certain is Timothy that Jackson didn't run 10 miles?,0.71,jackson,,0.225034965034965,Jackson is training for a marathon,,16907,14,inform_neg,Critical,,
13,condition1,0.97,How certain is Carol that Owen shoveled snow last winter?,0.97,owen,,0.74648275862069,Owen lives in Chicago,,12945,15,know_pos,Critical,,
13,condition1,0.22,How certain is Dorothy that Zoe didn't calculate the tip?,0.45,zoe,,0.745971223021583,Zoe is a math major,,24571,16,simple_polar,Critical,,
13,condition1,0.1,How certain is Kathleen that Tony had a drink last night?,0.8,tony,,0.252720588235294,Tony really likes to party with his friends,,20492,17,think_neg,Critical,,
13,condition1,0.88,How certain is Nicholas that Grace didn't visit her sister?,0.89,grace,,0.209855072463768,Grace loves her sister,,17309,18,know_neg,Critical,,
13,condition1,0.51,How certain is Larry that this pizza has mushrooms on it?,0.1,pizza,,0,Pizza is sold at the pizzeria,,13858,19,MC,Control,,
13,condition1,0.74,How certain is Julie that Jayden didn't rent a car?,0.24,jayden,,0.312205882352941,Jayden's car is in the shop,,18107,20,say_neg,Critical,,
13,condition1,0.64,How certain is Jason that Frank got a cat?,0.43,frank,,0.67972027972028,Frank has always wanted a pet,,14918,21,confirm_pos,Critical,,
14,condition1,,,,,Jessica,,,Jessica,0,1,,,bot_check,
14,condition1,0.7,How certain is Patrick that Zoe didn't calculate the tip?,0.6,zoe,,0.25402877697841697,Zoe is a math major,,41329,4,know_neg,Critical,,
14,condition1,0.28,How certain is Julie that Grace didn't visit her sister?,0.51,grace,,0.790144927536232,Grace loves her sister,,21790,5,simple_polar,Critical,,
14,condition1,0.69,How certain is Kevin that Jon walks to work?,0.64,jon,,0.7559375,Jon lives 2 blocks away from work,,15854,6,know_pos,Critical,,
14,condition1,0.22,How certain is Dorothy that Samantha doesn't have a new hat?,0.46,hat,,0,Hats are worn on the head,,24058,7,MC,Control,,
14,condition1,0.48,How certain is Dennis that Mary isn't pregnant?,0.53,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,20710,8,think_pos,Critical,,
14,condition1,0.33,How certain is Larry that Carl's kids weren't in the garage?,0.5,garage,,0,Garages are used to store cars and other things,,20191,9,MC,Control,,
14,condition1,0.18,How certain is Ronald that Charley doesn't speak Spanish?,0.6,charley,,0.804632352941177,Charley lives in Mexico,,18598,10,say_pos,Critical,,
14,condition1,0.77,How certain is Ruth that Frank didn't get a cat?,0.62,frank,,0.32027972027971996,Frank has always wanted a pet,,24122,11,confirm_neg,Critical,,
14,condition1,0.34,How certain is Jacob that Ann doesn't dance ballet?,0.46,ballet,,0,Ballet is a type of dance,,12059,12,MC,Control,,
14,condition1,0.59,How certain is Ryan that Jackson ran 10 miles?,0.5,jackson,,0.774965034965035,Jackson is training for a marathon,,12439,13,confirm_pos,Critical,,
14,condition1,0.78,How certain is Stephanie that Tony had a drink last night?,0.82,tony,,0.747279411764706,Tony really likes to party with his friends,,24300,14,inform_pos,Critical,,
14,condition1,0.23,How certain is Scott that these muffins don't have blueberries in them?,0.59,muffins,,0,Muffins are sold at the bakery,,13356,15,MC,Control,,
14,condition1,0.46,How certain is Nancy that Jack wasn't playing outside with the kids?,0.5,kids,,0,Many children like ice cream,,16403,16,MC,Control,,
14,condition1,0.7,How certain is Sandra that Danny didn't eat the last cupcake?,0.67,danny,,0.302937062937063,Danny loves cake,,117949,17,think_neg,Critical,,
14,condition1,0.41,How certain is Matthew that Jayden didn't rent a car?,0.44,jayden,,0.687794117647059,Jayden's car is in the shop,,12729,18,simple_polar,Critical,,
14,condition1,0.28,How certain is Cynthia that this pizza doesn't have mushrooms on it?,0.41,pizza,,0,Pizza is sold at the pizzeria,,14016,19,MC,Control,,
14,condition1,0.48,How certain is Paul that Owen shoveled snow last winter?,0.22,owen,,0.25351724137931,Owen lives in Chicago,,48002,20,inform_neg,Critical,,
14,condition1,0.62,How certain is Donald that Josie didn't go on vacation to France?,0.59,josie,,0.26656050955414,Josie loves France,,15348,21,say_neg,Critical,,
16,condition1,,,,,Linda,,,Linda,0,1,,,bot_check,
16,condition1,0.97,How certain is Betty that Grace didn't visit her sister?,0.99,grace,,0.209855072463768,Grace loves her sister,,38094,4,inform_neg,Critical,,
16,condition1,0.52,How certain is Christopher that Charley speaks Spanish?,0.46,charley,,0.804632352941177,Charley lives in Mexico,,20705,5,simple_polar,Critical,,
16,condition1,0.67,How certain is Donald that Carl's kids were in the garage?,0.5,garage,,0,Garages are used to store cars and other things,,27594,6,MC,Control,,
16,condition1,0.79,How certain is Dorothy that Frank didn't get a cat?,0.78,frank,,0.32027972027971996,Frank has always wanted a pet,,33203,7,know_neg,Critical,,
16,condition1,0.31,How certain is Julie that Tony didn't have a drink last night?,0.5,tony,,0.747279411764706,Tony really likes to party with his friends,,34252,8,say_pos,Critical,,
16,condition1,0.66,How certain is Cynthia that Jack was playing outside with the kids?,0.49,kids,,0,Many children like ice cream,,23544,9,MC,Control,,
16,condition1,0.28,How certain is Ryan that Mary isn't pregnant?,0.28,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,26763,10,confirm_pos,Critical,,
16,condition1,0.52,How certain is Daniel that Jayden didn't rent a car?,0.53,jayden,,0.312205882352941,Jayden's car is in the shop,,18340,11,say_neg,Critical,,
16,condition1,0.77,How certain is Carol that Zoe calculated the tip?,0.71,zoe,,0.745971223021583,Zoe is a math major,,18571,12,know_pos,Critical,,
16,condition1,0.66,How certain is Sharon that Jackson didn't run 10 miles?,0.5,jackson,,0.225034965034965,Jackson is training for a marathon,,25960,13,think_neg,Critical,,
16,condition1,0.63,How certain is George that Josie didn't go on vacation to France?,0.62,josie,,0.26656050955414,Josie loves France,,37334,14,confirm_neg,Critical,,
16,condition1,0.75,How certain is Eric that these muffins have blueberries in them?,0.75,muffins,,0,Muffins are sold at the bakery,,24187,15,MC,Control,,
16,condition1,0.86,How certain is Amy that Danny ate the last cupcake?,0.77,danny,,0.697062937062937,Danny loves cake,,12853,16,simple_polar,Critical,,
16,condition1,0.66,How certain is Kathleen that Ann dances ballet?,0.58,ballet,,0,Ballet is a type of dance,,21095,17,MC,Control,,
16,condition1,0.41,How certain is Brandon that Jon doesn't walk to work?,0.5,jon,,0.7559375,Jon lives 2 blocks away from work,,16579,18,inform_pos,Critical,,
16,condition1,0.79,How certain is Michelle that this pizza has mushrooms on it?,0.51,pizza,,0,Pizza is sold at the pizzeria,,21509,19,MC,Control,,
16,condition1,0.26,How certain is Jacob that Owen didn't shovel snow last winter?,0.39,owen,,0.74648275862069,Owen lives in Chicago,,13670,20,think_pos,Critical,,
16,condition1,0.87,How certain is Christina that Samantha has a new hat?,0.82,hat,,0,Hats are worn on the head,,14980,21,MC,Control,,
15,condition1,,,,,Jessica,,,Jessica,0,1,,,bot_check,
15,condition1,0.28,How certain is Benjamin that Owen didn't shovel snow last winter?,0.47,owen,,0.74648275862069,Owen lives in Chicago,,23816,4,say_pos,Critical,,
15,condition1,0.51,How certain is Brandon that these muffins have blueberries in them?,0.23,muffins,,0,Muffins are sold at the bakery,,15857,5,MC,Control,,
15,condition1,0.48,How certain is Christopher that Jayden rented a car?,0.86,jayden,,0.312205882352941,Jayden's car is in the shop,,17207,6,inform_neg,Critical,,
15,condition1,0.69,How certain is Diane that this pizza has mushrooms on it?,0.6,pizza,,0,Pizza is sold at the pizzeria,,14516,7,MC,Control,,
15,condition1,0.22,How certain is Jeffrey that Jackson ran 10 miles?,0.62,jackson,,0.225034965034965,Jackson is training for a marathon,,16931,8,say_neg,Critical,,
15,condition1,0.46,How certain is Gregory that Carl's kids weren't in the garage?,0.25,garage,,0,Garages are used to store cars and other things,,15574,9,MC,Control,,
15,condition1,0.75,How certain is Ruth that Tony had a drink last night?,0.75,tony,,0.747279411764706,Tony really likes to party with his friends,,9363,10,confirm_pos,Critical,,
15,condition1,0.27,How certain is Eric that Frank didn't get a cat?,0.64,frank,,0.67972027972028,Frank has always wanted a pet,,14157,11,think_pos,Critical,,
15,condition1,0.47,How certain is Scott that Samantha doesn't have a new hat?,0.28,hat,,0,Hats are worn on the head,,9380,12,MC,Control,,
15,condition1,0.53,How certain is Stephanie that Grace visited her sister?,0.56,grace,,0.790144927536232,Grace loves her sister,,10267,13,simple_polar,Critical,,
15,condition1,0.95,How certain is Nicholas that Danny didn't eat the last cupcake?,0.97,danny,,0.302937062937063,Danny loves cake,,11206,14,know_neg,Critical,,
15,condition1,0.5,How certain is Patrick that Ann dances ballet?,0.19,ballet,,0,Ballet is a type of dance,,9353,15,MC,Control,,
15,condition1,0.24,How certain is Tyler that Josie didn't go on vacation to France?,0.61,josie,,0.73343949044586,Josie loves France,,9760,16,simple_polar,Critical,,
15,condition1,0.96,How certain is Larry that Charley speaks Spanish?,0.99,charley,,0.804632352941177,Charley lives in Mexico,,9539,17,inform_pos,Critical,,
15,condition1,0.98,How certain is Sharon that Mary isn't pregnant?,0.99,mary,,0.18483221476510103,Mary is taking a prenatal yoga class,,8465,18,confirm_neg,Critical,,
15,condition1,0.48,How certain is Carolyn that Jack wasn't playing outside with the kids?,0.32,kids,,0,Many children like ice cream,,10665,19,MC,Control,,
15,condition1,0.98,How certain is Kathleen that Zoe calculated the tip?,1,zoe,,0.745971223021583,Zoe is a math major,,10161,20,know_pos,Critical,,
15,condition1,0.14,How certain is Daniel that Jon walks to work?,0.23,jon,,0.24406249999999996,Jon lives 2 blocks away from work,,10251,21,think_neg,Critical,,
