"utterance","prob","speaker_belief","ah_belief"
"BARE-dances-?",0.00131364080617519,"dances","uncertain"
"think-doesnt_dance-?",0.0616295394608972,"dances","uncertain"
"think-dances-?",0.181128590403256,"dances","uncertain"
"know-doesnt_dance-?",0.0110920034442898,"dances","uncertain"
"know-dances-?",0.744836225885382,"dances","uncertain"
"BARE-dances-?",0.000262100131039913,"doesnt_dance","uncertain"
"think-doesnt_dance-?",0.047780526269895,"doesnt_dance","uncertain"
"think-dances-?",0.544639756008119,"doesnt_dance","uncertain"
"know-doesnt_dance-?",0.398404400894899,"doesnt_dance","uncertain"
"know-dances-?",0.00891321669604683,"doesnt_dance","uncertain"
"BARE-dances-?",0.225423474818596,"doesnt_dance","null"
"think-doesnt_dance-?",0.000330574555952006,"doesnt_dance","null"
"think-dances-?",0.768396762434028,"doesnt_dance","null"
"know-doesnt_dance-?",0.00372326154276404,"doesnt_dance","null"
"know-dances-?",0.00212592664866012,"doesnt_dance","null"
"BARE-dances-?",0.516930512420769,"dances","null"
"think-doesnt_dance-?",0.00102519828596304,"dances","null"
"think-dances-?",0.47692239535161,"dances","null"
"know-doesnt_dance-?",0.000280531736152311,"dances","null"
"know-dances-?",0.00484136220550538,"dances","null"
"BARE-dances-?",0.000777912113277221,"doesnt_dance","dances"
"think-doesnt_dance-?",0.0385264908611568,"doesnt_dance","dances"
"think-dances-?",0.780089051933823,"doesnt_dance","dances"
"know-doesnt_dance-?",0.17121662079178,"doesnt_dance","dances"
"know-dances-?",0.00938992429996316,"doesnt_dance","dances"
"BARE-dances-?",0.000721098548312721,"dances","dances"
"think-doesnt_dance-?",0.0103326648084627,"dances","dances"
"think-dances-?",0.502366417651614,"dances","dances"
"know-doesnt_dance-?",0.00238071852931699,"dances","dances"
"know-dances-?",0.484199100462293,"dances","dances"
"BARE-dances-?",0.0030343907017417,"dances","doesnt_dance"
"think-doesnt_dance-?",0.244635797828935,"dances","doesnt_dance"
"think-dances-?",0.183961912958725,"dances","doesnt_dance"
"know-doesnt_dance-?",0.0159633081983056,"dances","doesnt_dance"
"know-dances-?",0.552404590312293,"dances","doesnt_dance"
"BARE-dances-?",0.00130538382627509,"uncertain","uncertain"
"think-doesnt_dance-?",0.108475338816682,"uncertain","uncertain"
"think-dances-?",0.79028077075152,"uncertain","uncertain"
"know-doesnt_dance-?",0.0272809722713917,"uncertain","uncertain"
"know-dances-?",0.0726575343341315,"uncertain","uncertain"
"think-doesnt_dance-?",0.0141337513529315,"doesnt_dance","doesnt_dance"
"think-dances-?",0.950526988276713,"doesnt_dance","doesnt_dance"
"know-doesnt_dance-?",0.0261037944013425,"doesnt_dance","doesnt_dance"
"know-dances-?",0.00923546596901362,"doesnt_dance","doesnt_dance"
"BARE-dances-?",0.988125584209499,"uncertain","null"
"think-doesnt_dance-?",0.00110538839158956,"uncertain","null"
"think-dances-?",0.00536585245087676,"uncertain","null"
"know-doesnt_dance-?",0.00071742275927285,"uncertain","null"
"know-dances-?",0.00468575218876165,"uncertain","null"
"BARE-dances-?",0.00201008001006015,"uncertain","doesnt_dance"
"think-doesnt_dance-?",0.0525784517869622,"uncertain","doesnt_dance"
"think-dances-?",0.906454289113107,"uncertain","doesnt_dance"
"know-doesnt_dance-?",0.0092724899303942,"uncertain","doesnt_dance"
"know-dances-?",0.0296846891594764,"uncertain","doesnt_dance"
"BARE-dances-?",0.000811121209395649,"uncertain","dances"
"think-doesnt_dance-?",0.00924934003059106,"uncertain","dances"
"think-dances-?",0.932352016120757,"uncertain","dances"
"know-doesnt_dance-?",0.00650108042997977,"uncertain","dances"
"know-dances-?",0.0510864422092763,"uncertain","dances"
